sl_no,gender,age,address,Medu,Fedu,Mjob,Fjob,famsup,paid,activities,internet,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
2495,M,19,U,1,1,other,at_home,yes,no,no,no,78.0,Central,56.0,State,Science,60.0,Sci&Tech,Yes,87.0,Mkt&Fin,88,Placed,446746.0
2496,M,22,U,1,1,services,services,no,no,yes,no,88.0,Central,68.0,Central,Commerce,71.0,Comm&Mgmt,No,58.0,Mkt&HR,65,Not Placed,
2497,F,23,R,1,3,at_home,at_home,yes,no,no,no,66.0,State,62.0,Central,Science,50.0,Sci&Tech,No,68.0,Mkt&Fin,64,Not Placed,
2498,F,21,R,3,1,health,at_home,yes,yes,no,yes,62.0,Private,63.0,Private,Arts,68.0,Sci&Tech,Yes,77.0,Mkt&Fin,63,Placed,355352.0
2499,F,19,U,3,3,at_home,other,yes,yes,no,yes,53.0,Private,85.0,State,Science,72.0,Sci&Tech,Yes,82.0,Mkt&HR,60,Placed,414883.0
2500,F,20,R,4,1,health,services,no,yes,no,no,71.0,Private,90.0,Private,Commerce,85.0,Sci&Tech,No,73.0,Mkt&Fin,67,Placed,437928.0
2501,M,21,U,3,3,other,at_home,yes,no,yes,no,74.0,Central,88.0,State,Commerce,75.0,Comm&Mgmt,No,76.0,Mkt&HR,51,Placed,354909.0
2502,M,22,U,1,2,teacher,teacher,no,yes,no,yes,78.0,Private,55.0,State,Arts,67.0,Comm&Mgmt,No,58.0,Mkt&HR,93,Not Placed,
2503,M,23,R,4,1,services,services,yes,no,yes,yes,60.0,State,57.0,Central,Commerce,60.0,Comm&Mgmt,No,93.0,Mkt&Fin,93,Placed,478955.0
2504,M,18,U,3,4,other,other,no,yes,no,no,69.0,Central,56.0,State,Science,87.0,Sci&Tech,No,69.0,Mkt&Fin,63,Placed,426535.0
2505,F,23,R,1,3,other,health,no,yes,no,yes,84.0,State,81.0,Private,Arts,66.0,Sci&Tech,No,81.0,Mkt&Fin,82,Placed,435936.0
2506,F,23,R,4,1,health,other,yes,yes,no,no,93.0,State,83.0,Central,Science,51.0,Sci&Tech,No,56.0,Mkt&HR,57,Not Placed,
2507,F,22,R,1,4,teacher,health,no,yes,yes,no,59.0,Central,62.0,Central,Commerce,85.0,Comm&Mgmt,Yes,74.0,Mkt&Fin,71,Placed,466466.0
2508,M,22,U,1,4,teacher,at_home,no,yes,no,yes,62.0,State,55.0,State,Commerce,87.0,Sci&Tech,Yes,65.0,Mkt&Fin,90,Placed,534132.0
2509,M,22,R,4,3,other,teacher,yes,no,yes,yes,93.0,Central,77.0,Central,Arts,90.0,Sci&Tech,No,91.0,Mkt&Fin,86,Placed,550000.0
2510,M,18,U,3,2,health,services,yes,no,yes,yes,93.0,Central,69.0,State,Arts,81.0,Comm&Mgmt,No,81.0,Mkt&HR,69,Placed,460605.0
2511,M,20,U,2,2,teacher,health,yes,yes,no,no,83.0,Private,91.0,State,Science,81.0,Comm&Mgmt,No,59.0,Mkt&HR,92,Placed,432625.0
2512,F,20,R,4,1,health,other,yes,yes,no,yes,92.0,State,84.0,Private,Arts,88.0,Comm&Mgmt,Yes,92.0,Mkt&HR,80,Placed,550000.0
2513,F,23,U,3,1,other,at_home,no,no,no,no,84.0,Central,67.0,Private,Commerce,78.0,Sci&Tech,Yes,86.0,Mkt&HR,77,Placed,518174.0
2514,F,23,R,2,4,teacher,services,no,no,yes,yes,62.0,Private,63.0,Central,Arts,68.0,Comm&Mgmt,No,58.0,Mkt&HR,83,Not Placed,
2515,F,23,R,3,2,at_home,teacher,no,yes,no,yes,58.0,Private,68.0,Private,Commerce,56.0,Comm&Mgmt,No,82.0,Mkt&HR,78,Placed,327978.0
2516,F,18,U,4,2,teacher,services,no,no,no,yes,77.0,Private,57.0,Private,Commerce,72.0,Sci&Tech,Yes,61.0,Mkt&Fin,68,Not Placed,
2517,F,22,R,2,3,health,at_home,yes,yes,yes,yes,61.0,State,82.0,Private,Commerce,78.0,Comm&Mgmt,Yes,90.0,Mkt&Fin,87,Placed,550000.0
2518,F,18,R,4,4,other,at_home,yes,yes,no,no,89.0,Central,61.0,Private,Arts,95.0,Comm&Mgmt,Yes,62.0,Mkt&Fin,72,Not Placed,
2519,M,23,U,3,2,health,teacher,yes,yes,yes,no,84.0,Central,73.0,Private,Science,70.0,Sci&Tech,Yes,91.0,Mkt&HR,58,Placed,401048.0
2520,F,20,R,1,2,services,other,yes,no,no,yes,56.0,Central,92.0,State,Commerce,95.0,Sci&Tech,No,85.0,Mkt&Fin,63,Placed,546903.0
2521,F,23,R,2,2,other,at_home,no,no,yes,yes,86.0,Central,54.0,Central,Commerce,76.0,Comm&Mgmt,No,93.0,Mkt&Fin,92,Placed,550000.0
2522,F,20,R,1,3,other,at_home,no,yes,yes,no,55.0,Private,78.0,Central,Science,93.0,Sci&Tech,Yes,79.0,Mkt&HR,54,Placed,494406.0
2523,M,19,U,1,4,other,other,yes,no,yes,no,52.0,State,84.0,Private,Arts,54.0,Sci&Tech,Yes,59.0,Mkt&HR,63,Not Placed,
2524,M,23,R,3,1,teacher,health,yes,no,yes,yes,69.0,Private,75.0,State,Commerce,63.0,Comm&Mgmt,No,88.0,Mkt&HR,50,Not Placed,
2525,M,18,U,4,3,health,health,yes,yes,no,yes,53.0,Private,61.0,State,Science,88.0,Comm&Mgmt,Yes,60.0,Mkt&Fin,87,Placed,470115.0
2526,F,18,R,3,4,health,other,no,no,no,yes,52.0,Central,72.0,Private,Arts,74.0,Comm&Mgmt,No,63.0,Mkt&HR,73,Not Placed,
2527,M,20,R,2,4,at_home,health,no,yes,yes,no,71.0,Private,84.0,Private,Arts,88.0,Sci&Tech,Yes,68.0,Mkt&Fin,95,Placed,550000.0
2528,M,18,R,3,4,other,services,yes,yes,yes,yes,71.0,Private,77.0,Central,Science,89.0,Comm&Mgmt,No,81.0,Mkt&HR,80,Placed,546086.0
2529,M,21,R,1,3,at_home,health,yes,no,no,no,84.0,Private,94.0,State,Science,76.0,Sci&Tech,Yes,51.0,Mkt&Fin,87,Placed,420867.0
2530,M,23,U,4,1,teacher,at_home,no,yes,yes,no,81.0,Central,86.0,State,Arts,66.0,Comm&Mgmt,Yes,63.0,Mkt&Fin,60,Placed,317153.0
2531,M,20,U,3,3,at_home,health,yes,yes,yes,no,79.0,Private,59.0,Private,Arts,74.0,Comm&Mgmt,Yes,77.0,Mkt&Fin,54,Placed,367569.0
2532,M,22,U,2,3,services,other,yes,no,yes,no,83.0,State,82.0,Central,Commerce,53.0,Sci&Tech,No,83.0,Mkt&Fin,74,Not Placed,
2533,F,20,U,1,3,other,teacher,yes,yes,yes,yes,62.0,State,53.0,Central,Arts,78.0,Comm&Mgmt,No,57.0,Mkt&Fin,59,Not Placed,
2534,M,19,R,1,3,teacher,other,no,no,no,yes,65.0,Central,54.0,Private,Arts,57.0,Comm&Mgmt,Yes,74.0,Mkt&Fin,68,Not Placed,
2535,M,20,R,1,3,services,services,yes,yes,no,no,68.0,State,50.0,Central,Commerce,87.0,Sci&Tech,No,75.0,Mkt&Fin,51,Placed,426840.0
2536,F,20,U,2,1,other,health,yes,yes,yes,yes,53.0,Central,90.0,Private,Science,68.0,Sci&Tech,Yes,57.0,Mkt&Fin,86,Placed,374296.0
2537,F,21,U,1,3,health,at_home,yes,yes,yes,yes,58.0,Central,81.0,State,Arts,82.0,Comm&Mgmt,Yes,78.0,Mkt&Fin,69,Placed,467153.0
2538,F,23,U,1,1,other,teacher,no,no,no,yes,68.0,State,77.0,Central,Arts,92.0,Sci&Tech,No,90.0,Mkt&HR,53,Placed,495298.0
2539,F,18,R,4,2,health,teacher,yes,no,no,yes,55.0,State,70.0,Central,Commerce,64.0,Sci&Tech,No,93.0,Mkt&HR,93,Placed,460099.0
2540,F,18,U,2,3,health,at_home,yes,no,yes,yes,73.0,Private,51.0,Central,Commerce,56.0,Comm&Mgmt,No,58.0,Mkt&Fin,85,Placed,281165.0
2541,F,23,U,2,4,teacher,services,no,yes,yes,no,82.0,State,68.0,Central,Arts,51.0,Comm&Mgmt,No,91.0,Mkt&HR,75,Placed,397806.0
2542,M,19,R,2,4,at_home,services,yes,yes,yes,no,68.0,State,68.0,Private,Arts,86.0,Comm&Mgmt,Yes,84.0,Mkt&Fin,93,Placed,550000.0
2543,M,19,R,3,2,health,health,yes,no,yes,yes,53.0,Private,58.0,State,Commerce,65.0,Comm&Mgmt,No,90.0,Mkt&Fin,75,Placed,413391.0
2544,F,20,R,1,4,other,at_home,yes,yes,yes,yes,57.0,Central,89.0,State,Commerce,67.0,Comm&Mgmt,No,88.0,Mkt&HR,79,Placed,417127.0
2545,M,22,R,4,3,services,other,yes,no,no,yes,92.0,State,90.0,State,Science,69.0,Comm&Mgmt,No,87.0,Mkt&HR,52,Placed,364517.0
2546,F,23,R,3,1,services,teacher,no,no,yes,yes,52.0,Central,71.0,Private,Arts,63.0,Sci&Tech,Yes,54.0,Mkt&HR,79,Not Placed,
2547,F,21,R,1,2,health,teacher,yes,yes,no,yes,93.0,Central,55.0,Private,Arts,57.0,Sci&Tech,No,86.0,Mkt&Fin,68,Placed,367983.0
2548,F,18,R,4,3,services,teacher,no,no,yes,no,72.0,State,94.0,Central,Arts,52.0,Sci&Tech,No,71.0,Mkt&HR,86,Not Placed,
2549,M,23,U,2,1,at_home,services,no,no,yes,yes,92.0,Private,68.0,Central,Arts,75.0,Comm&Mgmt,Yes,71.0,Mkt&HR,57,Not Placed,
2550,F,19,U,4,4,other,health,no,no,no,no,50.0,Central,76.0,Private,Commerce,72.0,Sci&Tech,Yes,89.0,Mkt&HR,76,Placed,478941.0
2551,M,21,U,2,1,at_home,teacher,yes,yes,no,no,60.0,Private,87.0,Private,Commerce,68.0,Comm&Mgmt,No,94.0,Mkt&HR,72,Placed,425046.0
2552,M,18,R,3,3,at_home,at_home,no,no,no,no,83.0,Private,90.0,Central,Science,86.0,Comm&Mgmt,Yes,69.0,Mkt&Fin,58,Placed,444687.0
2553,F,23,R,1,1,other,teacher,no,yes,yes,no,62.0,State,56.0,Private,Science,73.0,Comm&Mgmt,No,82.0,Mkt&Fin,64,Placed,422698.0
2554,F,19,R,2,3,health,services,yes,no,no,no,63.0,State,68.0,Central,Science,60.0,Comm&Mgmt,Yes,74.0,Mkt&HR,75,Not Placed,
2555,M,19,U,1,2,health,teacher,yes,yes,no,no,90.0,Central,75.0,State,Arts,64.0,Sci&Tech,No,59.0,Mkt&HR,69,Placed,263976.0
2556,M,23,U,3,1,other,teacher,yes,no,yes,yes,79.0,Private,83.0,State,Commerce,94.0,Sci&Tech,No,93.0,Mkt&HR,58,Placed,550000.0
2557,M,18,U,4,4,services,health,yes,yes,yes,yes,94.0,Central,87.0,State,Science,83.0,Comm&Mgmt,Yes,59.0,Mkt&Fin,73,Not Placed,
2558,F,20,R,2,1,services,services,yes,yes,yes,no,62.0,Central,74.0,Private,Arts,69.0,Sci&Tech,Yes,94.0,Mkt&Fin,52,Placed,413136.0
2559,M,18,U,3,1,other,other,no,no,yes,no,54.0,Central,94.0,Central,Science,55.0,Comm&Mgmt,No,83.0,Mkt&Fin,67,Placed,310832.0
2560,M,19,R,3,4,health,at_home,no,no,no,no,90.0,Central,82.0,Central,Commerce,82.0,Sci&Tech,Yes,55.0,Mkt&HR,88,Placed,471048.0
2561,M,23,R,1,3,other,services,yes,yes,yes,no,53.0,State,80.0,State,Science,63.0,Comm&Mgmt,Yes,59.0,Mkt&HR,65,Not Placed,
2562,M,23,U,4,1,services,teacher,yes,no,yes,no,93.0,Central,86.0,Private,Commerce,58.0,Comm&Mgmt,Yes,57.0,Mkt&Fin,81,Placed,310273.0
2563,M,20,U,4,2,health,at_home,yes,yes,yes,yes,70.0,State,71.0,State,Arts,84.0,Comm&Mgmt,No,86.0,Mkt&Fin,58,Placed,432617.0
2564,F,18,R,3,3,at_home,at_home,no,no,yes,yes,95.0,Private,52.0,Private,Commerce,64.0,Sci&Tech,Yes,52.0,Mkt&Fin,79,Placed,383290.0
2565,F,22,U,4,4,other,other,no,yes,no,no,70.0,Private,64.0,Private,Commerce,51.0,Comm&Mgmt,No,71.0,Mkt&Fin,68,Not Placed,
2566,M,19,U,3,3,teacher,at_home,yes,yes,yes,no,90.0,State,84.0,Central,Commerce,62.0,Comm&Mgmt,Yes,60.0,Mkt&HR,55,Placed,191158.0
2567,F,18,R,4,3,health,teacher,no,no,yes,yes,81.0,State,61.0,Central,Commerce,81.0,Sci&Tech,Yes,54.0,Mkt&HR,77,Not Placed,
2568,M,18,U,2,1,health,health,no,no,no,no,69.0,Private,81.0,Central,Commerce,91.0,Sci&Tech,No,93.0,Mkt&HR,76,Placed,550000.0
2569,F,21,R,3,2,health,teacher,yes,yes,no,no,59.0,Private,82.0,Private,Arts,82.0,Sci&Tech,Yes,86.0,Mkt&Fin,91,Placed,550000.0
2570,F,23,R,4,2,services,teacher,yes,yes,yes,yes,50.0,State,56.0,Private,Commerce,88.0,Comm&Mgmt,Yes,80.0,Mkt&Fin,66,Placed,492317.0
2571,F,18,U,1,1,teacher,services,yes,yes,yes,yes,75.0,State,53.0,Central,Commerce,57.0,Sci&Tech,Yes,91.0,Mkt&HR,88,Placed,446561.0
2572,M,18,R,3,3,health,teacher,no,yes,no,yes,84.0,State,93.0,Central,Science,89.0,Sci&Tech,No,64.0,Mkt&Fin,68,Placed,439897.0
2573,M,23,U,1,1,health,other,no,yes,yes,no,57.0,State,50.0,Private,Arts,81.0,Comm&Mgmt,No,74.0,Mkt&HR,53,Placed,385669.0
2574,F,20,R,2,3,other,health,no,yes,no,no,78.0,State,78.0,Central,Science,91.0,Sci&Tech,No,61.0,Mkt&HR,93,Placed,473644.0
2575,F,21,R,2,1,at_home,health,yes,yes,yes,yes,86.0,Central,59.0,Central,Commerce,81.0,Comm&Mgmt,No,74.0,Mkt&HR,94,Placed,474042.0
2576,M,20,U,2,2,other,teacher,no,yes,yes,no,65.0,Private,88.0,Central,Arts,68.0,Comm&Mgmt,No,66.0,Mkt&Fin,54,Not Placed,
2577,M,20,U,2,3,at_home,services,no,yes,yes,yes,52.0,Private,51.0,Private,Commerce,66.0,Comm&Mgmt,Yes,67.0,Mkt&Fin,62,Placed,306040.0
2578,F,18,U,2,1,health,at_home,no,yes,yes,no,68.0,Central,54.0,Private,Science,54.0,Sci&Tech,No,52.0,Mkt&HR,70,Not Placed,
2579,F,21,U,3,2,teacher,at_home,yes,no,yes,no,93.0,Central,52.0,Private,Science,95.0,Comm&Mgmt,No,61.0,Mkt&HR,50,Placed,396693.0
2580,F,19,U,4,1,other,other,yes,no,yes,no,95.0,Central,67.0,Central,Science,62.0,Sci&Tech,Yes,79.0,Mkt&HR,61,Not Placed,
2581,F,19,R,4,3,services,other,no,no,no,no,81.0,Central,57.0,State,Commerce,87.0,Sci&Tech,Yes,54.0,Mkt&Fin,95,Placed,525618.0
2582,F,18,R,2,2,at_home,health,yes,no,no,no,88.0,Central,62.0,Central,Science,54.0,Sci&Tech,Yes,67.0,Mkt&Fin,57,Not Placed,
2583,M,22,R,2,3,at_home,teacher,yes,no,no,yes,50.0,Central,69.0,Central,Arts,86.0,Sci&Tech,No,72.0,Mkt&HR,75,Not Placed,
2584,F,18,U,3,1,at_home,teacher,yes,yes,no,no,52.0,Central,64.0,Private,Arts,53.0,Comm&Mgmt,No,79.0,Mkt&HR,59,Not Placed,
2585,M,21,R,4,4,other,services,yes,yes,yes,no,72.0,Central,56.0,Private,Arts,55.0,Sci&Tech,Yes,54.0,Mkt&Fin,91,Not Placed,
2586,M,18,R,1,1,health,health,no,yes,yes,yes,82.0,Central,70.0,Private,Arts,88.0,Comm&Mgmt,No,86.0,Mkt&HR,64,Placed,498714.0
2587,F,19,R,3,3,services,at_home,no,no,yes,yes,91.0,Private,94.0,Central,Arts,66.0,Sci&Tech,Yes,78.0,Mkt&HR,86,Placed,434283.0
2588,F,21,R,2,1,other,services,no,no,no,yes,90.0,Private,64.0,State,Commerce,81.0,Comm&Mgmt,Yes,82.0,Mkt&HR,51,Not Placed,
2589,F,19,U,1,3,teacher,teacher,yes,yes,no,no,73.0,State,61.0,Private,Arts,79.0,Sci&Tech,Yes,77.0,Mkt&HR,95,Placed,512750.0
2590,M,21,U,2,3,at_home,services,yes,yes,no,no,93.0,Private,77.0,Central,Science,71.0,Comm&Mgmt,No,87.0,Mkt&Fin,58,Placed,426387.0
2591,M,20,R,1,4,other,services,yes,yes,yes,yes,57.0,Central,50.0,Private,Science,79.0,Comm&Mgmt,No,51.0,Mkt&Fin,73,Not Placed,
2592,M,23,U,1,3,services,health,no,yes,no,yes,86.0,State,88.0,Central,Commerce,56.0,Comm&Mgmt,No,57.0,Mkt&Fin,56,Not Placed,
2593,F,18,R,3,2,teacher,services,yes,no,no,no,54.0,State,56.0,Central,Arts,71.0,Comm&Mgmt,No,62.0,Mkt&HR,83,Placed,361852.0
2594,M,18,U,1,3,services,at_home,no,yes,no,no,72.0,Private,93.0,Central,Science,60.0,Sci&Tech,No,64.0,Mkt&HR,65,Not Placed,
2595,F,21,R,3,1,other,teacher,yes,yes,no,yes,58.0,State,72.0,Central,Commerce,95.0,Comm&Mgmt,Yes,94.0,Mkt&Fin,56,Placed,550000.0
2596,M,19,U,1,3,other,at_home,no,yes,no,no,55.0,State,55.0,State,Science,92.0,Comm&Mgmt,Yes,86.0,Mkt&Fin,57,Placed,550000.0
2597,M,22,U,3,1,health,teacher,no,yes,no,no,64.0,Central,55.0,State,Commerce,94.0,Sci&Tech,No,89.0,Mkt&HR,83,Placed,550000.0
2598,M,22,U,2,4,at_home,at_home,yes,no,no,no,61.0,Central,51.0,Central,Science,92.0,Sci&Tech,Yes,60.0,Mkt&Fin,60,Placed,392570.0
2599,M,21,U,2,3,other,health,no,no,yes,no,61.0,Private,80.0,Central,Commerce,53.0,Comm&Mgmt,No,54.0,Mkt&HR,85,Not Placed,
2600,F,21,U,3,3,at_home,services,yes,no,no,no,90.0,State,93.0,State,Commerce,77.0,Comm&Mgmt,Yes,75.0,Mkt&HR,62,Placed,413344.0
2601,M,20,R,3,4,services,health,no,yes,yes,yes,54.0,Private,64.0,State,Commerce,92.0,Sci&Tech,Yes,67.0,Mkt&Fin,76,Placed,533571.0
2602,F,23,U,4,3,other,at_home,no,no,yes,yes,58.0,Central,54.0,Private,Commerce,86.0,Comm&Mgmt,Yes,85.0,Mkt&HR,63,Placed,464931.0
2603,F,22,R,4,1,other,other,no,no,yes,no,62.0,Central,71.0,Central,Science,77.0,Comm&Mgmt,Yes,95.0,Mkt&HR,68,Placed,500564.0
2604,F,22,R,4,3,services,teacher,no,no,no,yes,51.0,Central,57.0,Central,Commerce,89.0,Comm&Mgmt,No,95.0,Mkt&HR,83,Placed,550000.0
2605,F,23,R,4,3,services,at_home,yes,no,no,yes,57.0,State,56.0,State,Arts,87.0,Sci&Tech,No,93.0,Mkt&Fin,57,Placed,511687.0
2606,F,19,R,3,2,at_home,services,no,no,yes,no,57.0,Central,85.0,State,Science,85.0,Sci&Tech,Yes,56.0,Mkt&HR,76,Placed,435058.0
2607,F,21,U,2,1,at_home,at_home,no,no,yes,no,89.0,State,76.0,Central,Commerce,92.0,Comm&Mgmt,Yes,71.0,Mkt&HR,64,Placed,470179.0
2608,F,22,R,1,1,teacher,other,yes,no,no,yes,94.0,Private,91.0,State,Commerce,56.0,Comm&Mgmt,Yes,75.0,Mkt&Fin,81,Not Placed,
2609,M,23,U,1,3,at_home,other,yes,no,no,no,77.0,Central,51.0,Private,Commerce,75.0,Sci&Tech,Yes,56.0,Mkt&Fin,95,Placed,460460.0
2610,M,22,U,1,2,teacher,services,yes,no,no,yes,61.0,Central,54.0,Central,Science,95.0,Sci&Tech,Yes,75.0,Mkt&HR,53,Placed,461259.0
2611,F,20,R,1,1,health,services,no,yes,no,yes,91.0,State,60.0,Private,Arts,86.0,Sci&Tech,Yes,81.0,Mkt&Fin,59,Placed,480452.0
2612,F,23,U,2,4,services,teacher,no,yes,yes,no,94.0,Central,76.0,State,Science,87.0,Sci&Tech,Yes,95.0,Mkt&Fin,92,Placed,550000.0
2613,M,18,R,4,3,health,services,no,yes,no,no,71.0,State,71.0,Central,Arts,95.0,Sci&Tech,No,95.0,Mkt&Fin,64,Placed,550000.0
2614,M,19,U,3,2,other,at_home,yes,yes,yes,yes,68.0,Central,82.0,Private,Arts,68.0,Sci&Tech,Yes,60.0,Mkt&Fin,62,Not Placed,
2615,F,22,R,4,4,health,health,no,no,no,no,69.0,Private,82.0,Private,Arts,92.0,Sci&Tech,No,58.0,Mkt&Fin,95,Placed,523713.0
2616,F,19,R,1,1,health,at_home,no,yes,yes,no,92.0,Central,92.0,Central,Science,59.0,Sci&Tech,Yes,89.0,Mkt&Fin,57,Placed,357274.0
2617,M,23,R,1,3,health,other,yes,no,no,no,86.0,Central,63.0,State,Science,80.0,Sci&Tech,No,74.0,Mkt&HR,58,Placed,378547.0
2618,M,23,U,2,4,other,at_home,no,yes,no,yes,86.0,Private,66.0,State,Arts,58.0,Comm&Mgmt,Yes,89.0,Mkt&Fin,85,Placed,472859.0
2619,M,19,R,1,3,health,teacher,no,yes,yes,yes,56.0,Private,52.0,Private,Science,68.0,Comm&Mgmt,Yes,61.0,Mkt&HR,54,Not Placed,
2620,M,19,U,2,4,teacher,services,no,no,no,yes,82.0,State,94.0,State,Arts,68.0,Comm&Mgmt,Yes,62.0,Mkt&Fin,79,Placed,352591.0
2621,F,23,U,1,1,health,at_home,no,no,yes,yes,64.0,Private,75.0,Central,Science,85.0,Sci&Tech,No,91.0,Mkt&HR,79,Placed,540986.0
2622,F,18,U,2,3,at_home,health,no,yes,no,yes,52.0,Central,92.0,Private,Arts,75.0,Sci&Tech,No,67.0,Mkt&Fin,61,Not Placed,
2623,M,22,R,3,1,teacher,other,no,no,yes,yes,76.0,State,86.0,State,Arts,95.0,Comm&Mgmt,Yes,85.0,Mkt&HR,64,Placed,537438.0
2624,F,18,U,2,4,teacher,other,no,no,no,yes,69.0,Central,85.0,Private,Science,62.0,Sci&Tech,Yes,88.0,Mkt&HR,91,Placed,441214.0
2625,M,18,U,3,2,other,services,no,yes,yes,no,81.0,State,69.0,State,Science,68.0,Sci&Tech,Yes,62.0,Mkt&HR,72,Not Placed,
2626,F,23,U,4,3,other,health,no,yes,yes,yes,58.0,State,72.0,Private,Science,64.0,Comm&Mgmt,Yes,65.0,Mkt&Fin,59,Not Placed,
2627,M,19,R,1,3,other,health,yes,yes,yes,no,84.0,State,55.0,Central,Commerce,62.0,Sci&Tech,No,90.0,Mkt&HR,73,Not Placed,
2628,F,18,R,4,2,health,at_home,no,yes,no,no,84.0,Private,62.0,State,Arts,73.0,Sci&Tech,Yes,64.0,Mkt&Fin,92,Placed,415832.0
2629,F,18,U,3,2,other,at_home,yes,yes,no,yes,95.0,State,73.0,State,Arts,50.0,Sci&Tech,No,59.0,Mkt&Fin,87,Not Placed,
2630,M,20,U,3,3,other,other,no,yes,yes,yes,91.0,Central,54.0,Central,Commerce,79.0,Sci&Tech,Yes,67.0,Mkt&Fin,61,Placed,372059.0
2631,M,23,U,2,2,teacher,services,yes,no,yes,yes,54.0,Central,60.0,Private,Arts,51.0,Comm&Mgmt,Yes,50.0,Mkt&HR,68,Not Placed,
2632,F,22,U,3,3,teacher,at_home,yes,no,yes,yes,88.0,Private,87.0,State,Science,59.0,Comm&Mgmt,Yes,76.0,Mkt&HR,50,Not Placed,
2633,F,18,U,2,3,at_home,health,yes,no,yes,no,57.0,State,50.0,State,Science,58.0,Comm&Mgmt,No,67.0,Mkt&Fin,70,Not Placed,
2634,F,21,R,1,2,at_home,teacher,no,no,yes,no,50.0,Private,50.0,Private,Commerce,52.0,Comm&Mgmt,No,63.0,Mkt&HR,87,Not Placed,
2635,F,18,R,2,1,teacher,services,no,yes,no,no,59.0,Private,66.0,Central,Commerce,58.0,Sci&Tech,Yes,68.0,Mkt&Fin,63,Not Placed,
2636,M,23,U,3,3,teacher,at_home,no,no,no,no,60.0,State,78.0,Central,Commerce,82.0,Comm&Mgmt,No,82.0,Mkt&Fin,90,Placed,550000.0
2637,F,21,U,2,2,health,services,yes,yes,no,no,72.0,Private,61.0,Central,Arts,91.0,Comm&Mgmt,Yes,73.0,Mkt&Fin,82,Placed,550000.0
2638,M,22,R,4,2,services,at_home,yes,yes,yes,no,55.0,Private,72.0,Central,Commerce,70.0,Comm&Mgmt,Yes,60.0,Mkt&Fin,67,Not Placed,
2639,F,18,U,2,4,services,other,yes,yes,yes,yes,79.0,State,68.0,State,Commerce,79.0,Comm&Mgmt,No,95.0,Mkt&HR,74,Placed,536741.0
2640,F,22,U,4,4,health,other,yes,no,no,yes,87.0,State,68.0,Private,Arts,82.0,Comm&Mgmt,No,55.0,Mkt&Fin,80,Not Placed,
2641,M,23,R,2,3,health,services,no,no,no,no,60.0,State,67.0,State,Science,91.0,Sci&Tech,Yes,68.0,Mkt&Fin,68,Placed,482175.0
2642,M,20,U,2,1,teacher,health,yes,no,no,yes,55.0,Private,74.0,State,Science,55.0,Comm&Mgmt,No,60.0,Mkt&HR,89,Placed,317720.0
2643,F,18,U,2,4,services,other,yes,yes,yes,yes,58.0,State,72.0,Central,Arts,93.0,Sci&Tech,Yes,64.0,Mkt&HR,79,Placed,501439.0
2644,M,22,U,2,2,services,health,no,yes,no,yes,95.0,Central,67.0,Private,Arts,68.0,Comm&Mgmt,No,77.0,Mkt&HR,82,Placed,397862.0
2645,M,21,U,2,4,services,at_home,yes,yes,no,yes,63.0,Private,84.0,Private,Arts,72.0,Sci&Tech,No,82.0,Mkt&HR,53,Placed,358788.0
2646,F,21,R,2,2,teacher,teacher,yes,yes,yes,yes,50.0,Central,60.0,Central,Arts,94.0,Sci&Tech,Yes,86.0,Mkt&Fin,94,Placed,550000.0
2647,M,18,U,2,4,teacher,other,no,yes,no,yes,88.0,State,59.0,State,Commerce,81.0,Comm&Mgmt,No,79.0,Mkt&HR,66,Not Placed,
2648,M,21,U,4,1,health,health,yes,yes,no,yes,52.0,State,64.0,State,Commerce,77.0,Sci&Tech,Yes,93.0,Mkt&Fin,90,Placed,550000.0
2649,F,20,U,1,1,services,services,yes,no,yes,yes,69.0,Central,80.0,Private,Science,89.0,Sci&Tech,No,69.0,Mkt&HR,78,Placed,461419.0
2650,F,22,R,2,3,other,teacher,no,no,no,yes,67.0,Central,71.0,Central,Science,76.0,Comm&Mgmt,No,77.0,Mkt&Fin,82,Placed,443069.0
2651,M,22,R,1,3,teacher,teacher,no,yes,yes,yes,94.0,Private,92.0,State,Science,70.0,Comm&Mgmt,Yes,69.0,Mkt&Fin,93,Placed,414889.0
2652,F,18,U,3,4,health,other,yes,no,yes,yes,65.0,Central,55.0,Private,Science,84.0,Comm&Mgmt,Yes,91.0,Mkt&Fin,62,Placed,506849.0
2653,F,23,R,2,2,health,services,yes,no,yes,yes,72.0,Central,82.0,Private,Commerce,72.0,Comm&Mgmt,No,83.0,Mkt&Fin,94,Placed,519900.0
2654,F,22,U,3,3,services,teacher,yes,no,no,yes,56.0,State,58.0,Central,Arts,74.0,Sci&Tech,No,85.0,Mkt&HR,94,Placed,512656.0
2655,F,21,U,2,4,services,at_home,yes,no,no,yes,63.0,Private,88.0,State,Arts,92.0,Comm&Mgmt,No,91.0,Mkt&Fin,60,Placed,527083.0
2656,F,19,R,2,4,other,other,no,yes,yes,no,51.0,State,53.0,Private,Science,68.0,Sci&Tech,No,64.0,Mkt&HR,74,Placed,313274.0
2657,F,23,U,1,4,services,other,yes,yes,yes,no,82.0,Private,87.0,Private,Arts,93.0,Sci&Tech,Yes,87.0,Mkt&HR,57,Placed,511102.0
